,CustomerID,Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount
PreferedOrderCat,1.0,0.3120724943250793,0.5252821996848436,0.7380156608667805,0.46374083122025384,0.4370592423978386,0.4307852426965635,0.09581241004234237,0.35737800214006826,0.4115413382440893,1.0,0.019663195350913456,0.16420802325964604,0.3377394439017627,0.0,0.6015859033514254,0.3903093848592897,0.5786450557204352,0.3969664350834361,0.9087285237975565
SatisfactionScore,1.0,0.08843471514117535,0.11794952251033314,0.056842991177010145,0.07568314497699544,0.0713674529665878,0.07498928028594179,0.02729782645813128,0.0,0.0,0.019663195350913456,1.0,0.30034433185365855,0.06525989461505978,0.03466353085209465,0.04754857310105955,0.0,0.0,0.06541459695452946,0.0211278803485427
MaritalStatus,1.0,0.11005621461343891,0.19053454350127585,0.1159681797231416,0.13913430014987432,0.11243410741315547,0.04057568917948648,0.019872644884898732,0.05452898407310277,0.08511111125216139,0.16420802325964604,0.30034433185365855,1.0,0.09788988904488169,0.0,0.042672855876695594,0.028833910714197265,0.07271951501600243,0.06996328576961014,0.11714923383618282
NumberOfAddress,1.0,0.10746057447321572,0.2904414671470707,0.30458200257801415,0.06392744863300057,0.15150423103978272,0.17834630815008193,0.0,0.2968211149954333,0.29403136863474644,0.3377394439017627,0.06525989461505978,0.09788988904488169,1.0,0.037734870971455683,0.19883446505975533,0.18532319145408982,0.2867320949536453,0.17789412970083168,0.2998821819960075
Complain,1.0,0.3817106489022515,0.12732914612384624,0.0,0.0,0.06861235782255767,0.0,0.05899152516669519,0.0,0.0,0.0,0.03466353085209465,0.0,0.037734870971455683,1.0,0.04681634326055492,0.0,0.0,0.025757740769732047,0.0688465472279453
OrderAmountHikeFromlastYear,1.0,0.10234663682858196,0.2769158678255471,0.21769787330408602,0.12988429319416817,0.1179054670790875,0.11647897270291684,0.05366450233919573,0.24606927959286617,0.2560419999644429,0.6015859033514254,0.04754857310105955,0.042672855876695594,0.19883446505975533,0.04681634326055492,1.0,0.2712650779117505,0.39014542550008013,0.21531598750230949,0.6965515632186506
CouponUsed,1.0,0.021535496736951303,0.15827335923456465,0.2245950856251362,0.0,0.11772295439507913,0.1415818802439396,0.03967223490391868,0.3515843332776799,0.352249623505253,0.3903093848592897,0.0,0.028833910714197265,0.18532319145408982,0.0,0.2712650779117505,1.0,0.8051270434353732,0.3583139485951855,0.4927704076969299
OrderCount,1.0,0.09042830950701132,0.2956293899437551,0.3810543343203013,0.05177823347209925,0.18206316329438293,0.23528654880145355,0.07022757375111977,0.4429477439009903,0.4556748971796182,0.5786450557204352,0.0,0.07271951501600243,0.2867320949536453,0.0,0.39014542550008013,0.8051270434353732,1.0,0.49890956170848016,0.7285398658937117
DaySinceLastOrder,1.0,0.24678209203900994,0.23727893584195525,0.2669654543632218,0.07534618938351774,0.1386757734826323,0.16242630405432734,0.06012229186521361,0.15779666417927332,0.21109293918385716,0.3969664350834361,0.06541459695452946,0.06996328576961014,0.17789412970083168,0.025757740769732047,0.21531598750230949,0.3583139485951855,0.49890956170848016,1.0,0.41347372415097516
CashbackAmount,1.0,0.21353327969363695,0.45642848773956235,0.6815260202762881,0.2937855794594446,0.5078477297027325,0.4706512539700089,0.07394389528720077,0.32305901442875323,0.3603465952836901,0.9087285237975565,0.0211278803485427,0.11714923383618282,0.2998821819960075,0.0688465472279453,0.6965515632186506,0.4927704076969299,0.7285398658937117,0.41347372415097516,1.0
